cc_num,merchant,category,amt,first,last,gender,street,city,state,lat,long,city_pop,job,merch_lat,merch_long,is_fraud,distance,age,transaction_date,transaction_month,transaction_year,transaction_time,transaction_day,transaction_weekday,is_weekend,population_category,log_amt,amt_squared,transaction_count,average_transaction_amount,merchant_transaction_count,merchant_avg_amt,std_transaction_amount,is_senior,is_minor,amt_age_ratio,distance_amt_ratio,time_of_day,amt_per_merchant,monthly_spending,is_fraud_and_weekend,amt_variance,amt_diff_mean,total_transaction_amt,trans_year,trans_month,trans_day,trans_hour,trans_minute,trans_second,dob_year,dob_month,dob_day
4604770000000.0,fraud_Rege LLC Pvt Ltd,online_shopping,9401.46,Ivan,Konda,F,"99/241, Saxena Marg, Guwahati 274759",Rohtak,Sikkim,-47.1760295,89.537494,114169.0,Event organiser,-47.157786,89.554979,0.0,2.4212334431327656,33,2022-12-27,12,2022,00:14:00,27,1,0,small,9.148726636147726,88387450.13159998,801,4551.134564030145,10,9401.46,2523.043721907961,0,0,284.89272727272726,0.0002575380252782,night,9401.46,292629.05,0.0,6365749.622659177,4850.325435969854,3645458.7857881463,2022,12,27,0,14,0,1990,12,21
4.84737e+18,fraud_Lalla PLC Pvt Ltd,entertainment,9285.21,Nishith,Uppal,F,"41/24, Chaudhuri, Khandwa-496840",Aurangabad,Uttarakhand,33.835807,-0.4717681503254255,774445.0,"Lighting technician, broadcasting/film/video",33.854196,-38.987751,1.0,1.4553428204862755,42,2023-03-21,3,2023,11:41:00,21,1,0,high,9.136285783012935,86215124.74409999,8,9285.21,829,5115.548867906304,0.0,0,0,221.07642857142855,0.0001567377388864,morning,9285.21,74281.68,0.0,0.0,0.0,74281.68,2023,3,21,11,41,0,1982,2,6
4860430000000000.0,fraud_Shenoy-Gaba Pvt Ltd,entertainment,5245.28,Madhav,Devi,F,"H.No. 277, Sant Path, Arrah-576371",Aizawl,Punjab,-38.125688,-0.4717681503254255,857128.0,Radiation protection practitioner,-38.110065,-1.3032460932720078,0.0,1.4553428204862755,50,2023-03-21,3,2023,11:41:00,21,1,0,high,8.565274533001714,27512962.278399996,18,7649.568333333333,7,5245.28,1973.5631084061552,0,0,104.9056,0.0002774576038812,morning,5245.28,36716.96,0.0,3894951.342861765,-2404.288333333333,137692.22999999998,2023,3,21,11,41,0,1974,5,9
3595870000000000.0,"fraud_Saxena, Kala and Badami Pvt Ltd",fitness_and_medical,5872.62,Dishani,Bhagat,M,"79/719, Jain Road, Mahbubnagar-723112",Ozhukarai,West Bengal,-62.658987,152.606508,427380.0,Scientific laboratory technician,-62.672345,-1.3032460932720078,1.0,1.4553428204862755,56,2022-09-08,9,2022,10:25:00,8,3,0,medium,8.678226417803511,34487665.6644,7,5872.62,7,5872.62,0.0,0,0,104.86821428571427,0.0002478183196744,morning,5872.62,41108.34,0.0,0.0,0.0,41108.34,2022,9,8,10,25,0,1967,6,21
675954000000.0,"fraud_Dani, Manda and Tailor Pvt Ltd",entertainment,4387.88,Hrishita,Chand,F,"H.No. 972, Khatri Road, Machilipatnam 286238",Jehanabad,Assam,36.600159,-105.821957,498632.8993690851,Osteopath,36.607554,-105.835459,1.0,1.4590372128586384,74,2024-03-19,3,2024,04:09:00,19,1,0,medium,8.386829348234487,19253490.8944,7,4387.88,7,4387.88,0.0,1,0,59.295675675675675,0.0003325152950533,night,4387.88,30715.16,0.0,0.0,0.0,30715.16,2024,3,19,4,9,0,1950,4,16
4582010000000.0,fraud_Kibe and Sons Pvt Ltd,entertainment,9553.78,Stuvan,Arya,F,"234, Deo Path, Pudukkottai 728013",Panvel,Chhattisgarh,51.2734745,14.504445,933329.0,Educational psychologist,51.285907,14.52412,0.0,1.9452170687948716,69,2023-04-07,4,2023,12:56:00,7,4,0,high,9.16479683181485,91274712.2884,19,7233.715338819938,9,9553.78,2261.319311918096,1,0,138.46057971014494,0.0002036070611626,afternoon,9553.78,137440.5914375788,0.0,5113565.030453731,2320.064661180063,137440.5914375788,2023,4,7,12,56,0,1954,8,10
3572360000000000.0,fraud_Hora and Sons Pvt Ltd,online_shopping,1558.33,Aradhya,Sarna,M,"H.No. 05, Suri Nagar, Delhi-962344",Ghaziabad,Uttarakhand,-85.822304,17.230889,564250.0,Sales executive,2.3017030783132526,17.229438,0.0,1.4553428204862755,35,2022-05-08,5,2022,14:46:00,8,6,1,medium,7.352011520808061,2428392.3888999997,11,1558.3299999999997,11,1558.3299999999997,0.0,0,0,44.52371428571429,0.0009339118290004,afternoon,1558.3299999999997,17141.629999999997,0.0,0.0,2.273736754432321e-13,17141.629999999997,2022,5,8,14,46,0,1989,5,4
340139000000000.0,"fraud_Din, Anne and Borde Pvt Ltd",online_shopping,6827.46,Gokul,Venkataraman,F,"H.No. 37, Ganesh Marg, Ozhukarai 754068",Ratlam,Arunachal Pradesh,-24.1429685,150.262083,579161.0,Education administrator,-24.137347,150.259106,1.0,0.6942471510175864,74,2023-04-15,4,2023,04:01:00,15,5,1,medium,8.828854451299462,46614210.0516,5,6827.460000000001,5,6827.460000000001,0.0,1,0,92.26297297297296,0.0001016845431562,night,6827.460000000001,34137.3,1.0,0.0,-9.094947017729282e-13,34137.3,2023,4,15,4,1,0,1950,3,11
4182470000000000.0,"fraud_Yadav, Chopra and Reddy Pvt Ltd",online_shopping,730.08,Suhana,Edwin,F,"312, Dua Ganj, Rewa-687796",Sikar,Uttarakhand,13.0740245,75.404406,498632.8993690851,Garment/textile technologist,13.066055,75.408824,1.0,1.007118317594475,76,2023-07-04,7,2023,16:26:00,4,1,0,medium,6.594522892886242,533016.8064000001,15,2172.8766666666666,10,730.08,2112.038058374851,1,0,9.606315789473683,0.001379462959668,afternoon,730.08,7300.8,0.0,4460704.760023811,-1442.7966666666666,32593.15,2023,7,4,16,26,0,1947,12,5
676301000000.0,fraud_Rout and Sons Pvt Ltd,travel,8362.2,Rhea,Sengupta,M,"80, Rattan Ganj, Hajipur 665963",Jalandhar,Meghalaya,4.02253,98.275063,193868.0,Animal technologist,2.3017030783132526,98.260619,0.0,1.4553428204862755,38,2023-03-21,3,2023,11:41:00,21,1,0,small,9.031596407958656,69926388.84000002,16,4782.25875,7,8362.2,3260.7539318913664,0,0,220.05789473684212,0.0001740382698914,morning,8362.2,58535.40000000001,0.0,10632516.204345005,3579.9412500000008,76516.14,2023,3,21,11,41,0,1985,10,20
3553150000000000.0,fraud_Sami and Sons Pvt Ltd,travel,1557.6,Stuvan,Dey,M,"70/26, Tella Street, Ramagundam-489636",Katni,Uttarakhand,42.205247,16.930497,118943.0,"Surveyor, building",42.213087,16.917094,0.0,1.4066141301835553,75,2024-01-13,1,2024,04:43:00,13,5,1,small,7.351543261409461,2426117.76,5,1557.6,5,1557.6,0.0,1,0,20.767999999999997,0.0009030650553309,night,1557.6,7788.0,0.0,0.0,0.0,7788.0,2024,1,13,4,43,0,1948,8,14
4041460000000.0,fraud_Agrawal Group Pvt Ltd,online_shopping,7012.15,Himmat,Basak,F,"H.No. 721, Johal Street, Gaya 138332",Shimla,Jharkhand,54.585347,-101.17161,924581.0,"Research officer, government",54.595492,-101.162374,1.0,1.2753993779687327,69,2022-10-20,10,2022,02:16:00,20,3,0,high,8.855542237157453,49170247.622499995,9,7012.15,9,7012.15,0.0,1,0,101.62536231884056,0.000181884212113,night,7012.15,63109.35,0.0,0.0,0.0,63109.35,2022,10,20,2,16,0,1954,7,14
502015000000.0,fraud_Lall-Ray Pvt Ltd,fitness_and_medical,4116.46,Dhruv,Baral,F,"860, Deshpande, Singrauli-197059",Aurangabad,Odisha,-86.4819315,90.916994,963126.0,"Psychologist, clinical",-86.481344,90.916211,0.0,0.0655451597610786,85,2023-09-24,9,2023,14:21:00,24,6,1,high,8.322991747371942,16945242.9316,10,4116.46,10,4116.46,0.0,1,0,48.42894117647059,1.5922700514781776e-05,afternoon,4116.46,41164.6,0.0,0.0,0.0,41164.6,2023,9,24,14,21,0,1938,10,28
4233220000000000.0,"fraud_Gokhale, Rajagopal and Gala Pvt Ltd",travel,7834.5,Hazel,Balay,F,"54, Kumer Nagar, Suryapet 222256",Ramgarh,Uttarakhand,-64.5780485,-149.601254,498632.8993690851,Architectural technologist,-64.584987,-149.591118,1.0,0.910650802782206,74,2022-12-30,12,2022,17:27:00,30,4,0,medium,8.96641996896327,61379390.25,16,7834.5,16,7834.5,0.0,1,0,105.87162162162164,0.0001162359822301,evening,7834.5,125352.0,0.0,0.0,0.0,125352.0,2022,12,30,17,27,0,1950,3,11
4590410000000000.0,"fraud_Savant, Bhardwaj and Lata Pvt Ltd",travel,8186.72,Divij,Agrawal,M,"74/000, Kara Chowk, Rourkela 653358",Rampur,Uttarakhand,27.2517865,-90.896522,738101.0,Plant breeder/geneticist,27.232074,-90.885213,1.0,2.4605960467340946,74,2023-06-07,6,2023,07:13:00,7,2,0,high,9.010390749811515,67022384.3584,6,8186.72,6,8186.72,0.0,1,0,110.63135135135136,0.000300559448318,morning,8186.72,49120.32,0.0,0.0,0.0,49120.32,2023,6,7,7,13,0,1950,3,11
343281000000000.0,"fraud_Banerjee, Mani and Chakraborty Pvt Ltd",fitness_and_medical,7783.38,Kiara,Kannan,F,"H.No. 81, Handa Road, Suryapet-582769",Motihari,Uttarakhand,-62.596031,126.345224,990873.0,IT technical support officer,-62.594592,126.364932,0.0,1.0212674550045455,75,2024-01-17,1,2024,11:19:00,17,2,0,high,8.959874440762663,60581004.2244,5,7783.38,5,7783.38,0.0,1,0,103.7784,0.0001312113060141,morning,7783.38,38916.9,0.0,0.0,0.0,38916.9,2024,1,17,11,19,0,1949,5,31
4023110000000000.0,"fraud_Walla, Sarna and Toor Pvt Ltd",travel,176.79,Adah,Mani,F,"144, Deep Path, Purnia 711684",Bettiah,Haryana,-23.7904085,-0.4717681503254255,999713.0,Recycling officer,-23.802586,-53.61417,1.0,1.4553428204862755,64,2023-10-25,10,2023,01:07:00,25,2,0,high,5.18060307852848,31254.704099999995,8,176.79,8,176.79,0.0,0,0,2.76234375,0.0082320426522217,night,176.79,1414.32,0.0,0.0,0.0,1414.32,2023,10,25,1,7,0,1960,4,17
6544460000000000.0,fraud_Doctor LLC Pvt Ltd,online_shopping,2843.62,Ishita,Sani,F,"85/982, Chawla Path, Machilipatnam 293326",Bangalore,Maharashtra,-82.32464,-85.926685,498632.8993690851,"Engineer, site",-82.318573,-85.927889,1.0,0.6748567308808633,35,2023-12-27,12,2023,10:13:00,27,2,0,medium,7.953184769976911,8086174.704399999,22,3994.6385718789406,15,3404.617333333333,1178.1050677096268,0,0,81.2462857142857,0.0002373231060693,morning,2843.62,31279.82,0.0,1387931.5505631042,-1151.0185718789407,87882.0485813367,2023,12,27,10,13,0,1989,2,18
2271100000000000.0,fraud_Lalla PLC Pvt Ltd,travel,1177.97,Biju,Savant,F,"H.No. 925, Mandal Chowk, Bhiwani-211415",Avadi,Uttarakhand,25.0912785,86.464196,792627.0,Comptroller,25.101416,86.444808,1.0,2.254383445547145,54,2023-03-30,3,2023,04:33:00,30,3,0,high,7.072396454921013,1387613.3209000002,4,1177.97,829,5115.548867906304,0.0,0,0,21.81425925925926,0.001913786807429,night,1177.97,4711.88,0.0,0.0,0.0,4711.88,2023,3,30,4,33,0,1969,7,26
4402440000000000.0,fraud_Atwal-Mandal Pvt Ltd,entertainment,9270.62,Myra,Dara,F,"H.No. 31, Bhat Chowk, Gandhinagar 991004",Kota,Mizoram,66.0441015,1.071421,415989.0,Camera operator,66.059632,1.08948,1.0,1.9096090087814817,30,2022-08-26,8,2022,00:13:00,26,4,0,medium,9.13471340057318,85944395.18440002,4,9270.62,4,9270.62,0.0,0,0,309.02066666666667,0.0002059850375467,night,9270.62,37082.48,0.0,0.0,0.0,37082.48,2022,8,26,0,13,0,1993,10,2
38246000000000.0,fraud_Bera Inc Pvt Ltd,travel,1905.5,Tejas,Tata,F,"92/130, Master Road, Siwan 615552",Loni,Manipur,58.4472675,-154.128778,218125.0,Acupuncturist,58.460872,-154.148522,1.0,1.8994007024431447,28,2023-07-02,7,2023,07:05:00,2,6,1,small,7.553024379297619,3630930.25,20,3687.5864290668346,9,1905.5,1653.833834099199,0,0,68.05357142857143,0.0009967991091278,morning,1905.5,17149.5,1.0,2735166.350811257,-1782.0864290668346,73751.72858133669,2023,7,2,7,5,0,1996,3,8
370744000000000.0,"fraud_Varma, Sachdev and Sabharwal Pvt Ltd",travel,4273.23,Mishti,Deol,M,"95/664, Yadav Nagar, Firozabad 609374",Ambala,Uttarakhand,63.076577,140.518109,676914.0,"Development worker, community",63.067713,140.533391,0.0,1.2504710060210509,22,2023-11-23,11,2023,18:45:00,23,3,0,medium,8.36035924818879,18260494.632899996,13,4400.263846153845,9,4273.23,198.33152873990505,0,0,194.23772727272728,0.0002926289963379,evening,4273.23,57203.42999999999,0.0,39335.39529230778,-127.03384615384584,57203.42999999999,2023,11,23,18,45,0,2001,9,16
4956920000000000.0,"fraud_Soman, Yohannan and Shroff Pvt Ltd",online_shopping,3637.6,Mohanlal,Reddy,F,"41/37, Brahmbhatt Path, Yamunanagar-347766",Secunderabad,Tamil Nadu,22.3163085,33.083523,498632.8993690851,Ergonomist,22.306642,33.099812,1.0,1.990765406530105,73,2022-11-16,11,2022,12:03:00,16,2,0,medium,8.199354271262703,13232133.76,21,4522.801904761905,11,3637.6,3032.924635086765,1,0,49.83013698630137,0.0005472744134951,afternoon,3637.6,42047.44,0.0,9198631.842116188,-885.2019047619046,94978.84,2022,11,16,12,3,0,1950,10,15
3539460000000000.0,fraud_Subramaniam Group Pvt Ltd,travel,5995.21,Yasmin,Vohra,M,"H.No. 48, Borde Ganj, Kharagpur 216798",Bardhaman,Tamil Nadu,-42.5345125,157.614617,105927.0,"Engineer, civil (contracting)",-42.543094,157.61746,0.0,0.9822373362842948,55,2023-05-05,5,2023,04:33:00,5,4,0,small,8.698882881958085,35942542.9441,19,6664.353684210527,8,5995.21,668.3853515933465,0,0,109.00381818181818,0.0001638370192677,night,5995.21,47961.68,0.0,446738.97822456143,-669.1436842105268,126622.72,2023,5,5,4,33,0,1968,12,7
347251000000000.0,fraud_Devan and Sons Pvt Ltd,entertainment,566.3,Adira,Chawla,M,"24, Handa Circle, Meerut 754652",Aurangabad,Nagaland,41.585203,-138.298046,244122.0,Senior tax professional/tax inspector,41.597683,-138.299316,1.0,1.3917260077769742,77,2024-03-22,3,2024,11:35:00,22,4,0,small,6.340888264332522,320695.68999999994,11,978.7763636363636,15,3847.836,572.2877290537117,1,0,7.354545454545454,0.0024575772696044,morning,566.3,3964.099999999999,0.0,327513.24482545455,-412.47636363636354,10766.54,2024,3,22,11,35,0,1946,10,20
4895400000000000.0,fraud_Shetty-Gill Pvt Ltd,travel,151.74,Vihaan,Bose,M,"H.No. 720, Yohannan Zila, Surendranagar Dudhrej-094495",Nangloi Jat,Arunachal Pradesh,-35.55484,105.644191,794580.0,"Psychologist, prison and probation services",-35.570467,105.658759,0.0,2.1807931687688407,24,2023-07-31,7,2023,20:03:00,31,0,0,high,5.0287371294602385,23025.0276,5,151.74,5,151.74,0.0,0,0,6.322500000000001,0.0143719070038805,evening,151.74,758.7,0.0,0.0,0.0,758.7,2023,7,31,20,3,0,1999,10,28
675921000000.0,fraud_Sundaram Ltd Pvt Ltd,online_shopping,9909.69,Tejas,Chander,F,"H.No. 11, Wali Path, Delhi-607458",Eluru,Gujarat,40.3360335,-49.708903,846561.0,Airline pilot,40.348114,-49.718246,1.0,1.559306374944368,65,2022-07-25,7,2022,06:13:00,25,0,0,high,9.201369251539967,98201955.8961,15,8498.159333333333,7,9909.69,1366.7086911652636,1,0,152.45676923076925,0.0001573516805212,morning,9909.69,127472.39,0.0,1867892.646506668,1411.5306666666677,127472.39,2022,7,25,6,13,0,1958,8,12
3546220000000000.0,fraud_Lalla PLC Pvt Ltd,entertainment,488.77,Vanya,Dalal,M,"H.No. 874, Iyer Circle, Delhi 569656",Thoothukudi,Gujarat,-9.3469045,-39.918945,309899.0,Interior and spatial designer,-9.360966,-39.915494,0.0,1.6087587834307795,74,2023-02-02,2,2023,05:05:00,2,3,0,medium,6.193935893152653,238896.1129,6,488.77,829,5115.548867906304,0.0,1,0,6.6049999999999995,0.0032914433852952,morning,488.77,2932.62,0.0,0.0,0.0,2932.62,2023,2,2,5,5,0,1950,3,11
